,Día de la semana,Electricidad (kW),Fotovoltaica (kW),Refrigeración (kW),Calefacción (kWh),Energía total (kWh),Temperatura (°C),Punto de rocío (°C),Humedad (%),Velocidad del viento (m/s),Presión (hPa),Ráfaga de viento (m/s)
2014-02-03,0,536998.35,37603.979999999996,256509.37038,21819.13595,815326.85633,12.708333333333334,-5.601851851851852,28.958333333333332,2.1979466666666667,970.2289549166667,13.85824
2014-02-04,1,506773.85000000003,70007.68000000001,236655.852625,22480.011055000003,765909.71368,11.36574074074074,-4.027777777777778,41.083333333333336,2.9430133333333335,974.560712125,0.0
2014-02-05,2,563025.3,43962.38,260541.50537,21637.431930000002,845204.2373,14.004629629629632,-7.1759259259259265,37.75,1.34112,974.7864714583334,0.0
2014-02-06,3,619783.78,29253.43,225608.30498000002,21191.96401,866584.04899,12.5,-3.6458333333333335,44.75,2.5332266666666667,974.2926229166666,0.0
2014-02-07,4,588759.17,73075.46,274199.77487,35575.88869000001,898534.83356,15.324074074074074,2.4189814814814814,42.645833333333336,2.1048133333333334,975.8164984166666,0.0
2014-02-08,5,550654.75,81153.86,284365.59303,94553.49673,929573.83976,15.717592592592593,1.4351851851851851,42.041666666666664,2.160693333333333,979.1887784583333,0.0
2014-02-09,6,515737.86,84841.59,309851.81489,96607.92444,922197.59933,17.12962962962963,2.2222222222222223,38.916666666666664,1.7509066666666666,976.6630959166667,0.0
2014-02-10,0,573741.96,78807.15,358150.49453,93231.74652,1025124.20105,18.03240740740741,2.7083333333333335,38.541666666666664,2.998893333333333,972.31722875,0.0
2014-02-11,1,603551.35,82768.08,392648.53651,84782.50959,1080982.3961,18.21759259259259,0.1620370370370369,34.729166666666664,1.397,973.4813003125,0.0
2014-02-12,2,606378.92,83869.06,391610.52913,63953.95362000001,1061943.40275,18.310185185185187,-3.9120370370370368,27.083333333333332,2.0303066666666667,976.3385668750001,0.0
2014-02-13,3,610911.03,85486.41,419120.22177,48236.55589,1078267.80766,19.050925925925927,-3.6342592592592595,26.125,2.4773466666666666,974.6735917916667,0.0
2014-02-14,4,590465.86,83559.34,448390.24325,90834.42574,1129690.52899,20.48611111111111,-2.4768518518518516,25.875,1.9185466666666666,974.2079631666667,0.0
2014-02-15,5,541998.89,84673.01,438303.45208,84615.45912000001,1064917.8012,21.01851851851852,-2.4074074074074074,25.875,2.12344,973.5589050833333,0.0
2014-02-16,6,510099.48,70741.68,438584.46038,85550.35561000001,1034234.29599,21.11111111111111,-2.2916666666666665,23.833333333333332,2.477346666666667,973.1497162916667,0.0
2014-02-17,0,549178.96,89492.57,491491.71131000004,86769.53097,1127440.20228,21.828703703703706,-2.7546296296296298,22.833333333333332,2.12344,973.4460254166667,0.0
2014-02-18,1,557832.33,82113.83,505245.01015,85245.56177000001,1148322.90192,21.666666666666668,-2.2916666666666665,22.666666666666668,2.4400933333333334,971.4000814583333,0.0
2014-02-19,2,556231.6,68619.85,461258.03183,83226.30258,1100715.93441,20.50925925925926,-1.388888888888889,26.041666666666668,2.495973333333333,968.6204196666666,0.0
2014-02-20,3,556052.23,92514.44,433121.22292,98128.96293000001,1087302.41585,19.050925925925927,-10.578703703703704,19.208333333333332,1.6018933333333336,973.8693241666666,0.0
2014-02-21,4,539086.94,75119.74,383962.28508,96780.83633,1019830.0614100001,17.63888888888889,-9.861111111111112,15.916666666666666,1.84404,973.1779362083333,0.0
2014-02-22,5,486365.97000000003,78824.33,376918.12095,107217.09464000001,970501.18559,18.21759259259259,-7.662037037037037,18.708333333333332,2.17932,970.878013,0.0
2014-02-23,6,473311.54,71082.82,391982.48705,95283.24352,960577.27057,19.46759259259259,-5.972222222222222,18.875,1.8812933333333335,972.3736685833333,0.0
2014-02-24,0,564926.78,81633.64,447714.55721,92481.48476,1105122.8219700002,20.625,-4.814814814814815,19.166666666666668,2.086186666666667,972.2890088333334,0.0
2014-02-25,1,582404.52,39900.53,439080.07602,88821.02797000001,1110305.62399,19.675925925925927,-0.9027777777777778,27.041666666666668,2.086186666666667,972.4018885,0.0
2014-02-26,2,585274.83,85151.07,468413.54417999997,82997.7072,1136686.08138,20.439814814814813,2.337962962962963,31.5,1.89992,972.274898875,0.0
2014-02-27,3,582272.1,84133.6,465332.96871,82358.81242,1129963.88113,20.53240740740741,4.305555555555555,35.541666666666664,3.12928,970.2853947499999,11.176
2014-02-28,4,570840.47,73633.8,473186.85175,76007.96385,1120035.2856,21.27314814814815,4.930555555555555,35.916666666666664,4.02336,967.8161520416667,12.51712
2014-03-01,5,556919.39,36217.95,415822.26052999997,103943.49157000001,1076685.1421,17.52314814814815,11.921296296296298,71.25,4.30276,968.1971209166667,11.62304
2014-03-02,6,525920.42,73251.05,323016.29759,94301.45567000001,943238.17326,15.532407407407407,8.75,66.70833333333333,2.7567466666666665,976.3385668750001,0.0
2014-03-03,0,571778.06,102430.99,395916.81427,84712.17255,1052407.04682,17.61574074074074,7.8240740740740735,56.083333333333336,1.7136533333333333,974.5889320416667,0.0
2014-03-04,1,595818.15,84225.29,429755.77045,80125.61140000001,1105699.53185,18.912037037037035,7.407407407407407,49.5,2.2165733333333333,971.3859715,0.0
2014-03-05,2,594040.62,106325.02,471762.81845,79589.29147000001,1145392.72992,20.23148148148148,4.953703703703703,42.208333333333336,1.695026666666667,973.8128843333334,0.0
2014-03-06,3,594790.26,59947.8,472845.59724,82024.71148000001,1149660.56872,20.02314814814815,3.263888888888889,35.125,2.1048133333333334,972.3736685833333,0.0
2014-03-07,4,568745.245,108304.54,466393.010095,86543.86630000001,1121682.121395,19.76851851851852,4.282407407407407,39.083333333333336,2.8871333333333333,968.9872785833333,0.0
2014-03-08,5,522105.43,114411.87,470154.45918,81374.09386000001,1073633.98304,20.694444444444446,-1.9212962962962965,26.291666666666668,3.2037866666666663,973.9539839166667,10.72896
2014-03-09,6,492839.33,118019.83,439810.90862,87264.82096000001,1019915.05958,21.087962962962962,-3.5416666666666665,20.458333333333332,3.79984,978.5961602083333,7.59968
2014-03-10,0,522480.02999999997,114575.52,467209.28821,85608.96981000001,1075298.28802,20.60185185185185,-3.310185185185185,25.791666666666668,2.7008666666666667,974.8288013333332,0.0
2014-03-11,1,544919.96,113121.56,461959.7085,87282.40522,1094162.07372,20.50925925925926,-1.9675925925925923,26.916666666666668,3.371426666666667,971.5411810416667,0.0
2014-03-12,2,544714.09,107565.92,478783.80555,93838.40349000001,1117336.29904,21.064814814814813,-4.537037037037037,18.916666666666668,2.5518533333333333,972.7546374583334,0.0
2014-03-13,3,548307.02,83044.54000000001,502470.6247,76884.24614,1127661.89084,21.944444444444443,-3.7731481481481484,21.75,2.495973333333333,970.0031955833333,0.0
2014-03-14,4,534787.86,92644.89,477211.42519,77742.94417,1089742.22936,21.38888888888889,0.8333333333333334,28.083333333333332,3.0734,972.613537875,0.0
2014-03-15,5,506740.51,119789.95,465998.17409,83490.06648000001,1056228.75057,21.73611111111111,-4.027777777777778,28.541666666666668,4.7498,976.5643262083332,16.98752
2014-03-16,6,497232.64,120147.68,470216.60457,98524.60878000001,1065973.85335,22.083333333333332,-11.736111111111112,10.458333333333334,3.2037866666666663,980.9384132916666,10.28192
2014-03-17,0,560580.91,120127.1,520885.07398,92197.20589000001,1173663.18987,21.689814814814813,-6.5509259259259265,18.0,4.060613333333333,969.7633262916667,9.83488
2014-03-18,1,591848.92,120240.01,536641.48017,86420.77648,1214911.17665,22.12962962962963,-13.24074074074074,9.5,3.4831866666666667,967.618612625,9.83488
2014-03-19,2,592691.53,118440.3,497265.25368,105804.49242000001,1195761.2761,20.39351851851852,-10.787037037037038,13.041666666666666,2.3842133333333333,974.68770175,0.0
2014-03-20,3,594169.83,95393.83,505052.73576,88489.85774,1187712.4235,20.833333333333332,-6.226851851851852,17.833333333333332,2.086186666666667,973.798774375,0.0
2014-03-21,4,584274.84,119220.95,520434.47594,90113.47108,1194822.78702,21.203703703703706,-4.398148148148148,20.291666666666668,2.45872,971.005002625,0.0
2014-03-22,5,545576.25,109911.29,485671.35767,83745.03825000001,1114992.64592,21.15740740740741,-3.032407407407407,21.416666666666668,2.06756,972.4301084166667,0.0
2014-03-23,6,524693.97,110319.46,504734.5176,76520.83810000001,1105949.3257,22.26851851851852,-2.8935185185185186,20.583333333333332,2.2724533333333334,974.85702125,0.0
